id,name,voltage,amperage,authentication_membership_card,capacity,fee,note,opening_hours,operator,socket_schuko,socket_type2,socket_type2_output,lon,lat
"node/5505791339",null,null,null,null,null,"yes",null,"24/7","EGG Energieversorgung Gera",null,null,null,12.1200322,50.8771071
"node/5505802840",null,null,null,null,null,null,null,"24/7","EGG Energieversorgung Gera GmbH",null,null,null,12.0763237,50.879566
"node/5506067135",null,null,"32","yes","2",null,null,null,"Stromnetz Hamburg","2","2",null,9.997633,53.5521968
"node/5507570547",null,null,"32","yes","2",null,null,null,"Stromnetz Hamburg","2","2",null,9.989345,53.5454656
"node/5507606302",null,null,null,null,"2",null,null,null,"Stromnetz Hamburg",null,"1",null,9.9865447,53.5450889
"node/5507614578",null,null,"32","yes","2",null,null,null,"Stromnetz Hamburg","2","2",null,9.9866424,53.54649
"node/5507705497",null,null,"32","yes","2",null,null,null,"Stromnetz Hamburg","2","2",null,9.9874303,53.5413408
"node/5507924715","Mellrichstädter Höhe Süd","400","143A","yes",null,null,null,"24/7","Tank & Rast",null,"1","43 kW",10.3510053,50.4211961
"node/5508138478",null,null,null,null,"2","yes",null,"24/7","eins energie in sachsen",null,null,null,12.9026468,50.7863628
"node/5509332183","Edeka Elektrotankstelle",null,"32",null,"2","yes",null,"24/7","RWE",null,"2",null,9.8791428,53.3150026
"node/5511735041",null,null,"32","yes","2",null,null,null,"Stromnetz Hamburg","2","2",null,9.9919661,53.5568783
"node/5513985035","LEW AutoStrom","400","32",null,"2","yes",null,"24/7","LEW / RWE / innogy eRoaming",null,"2","22kW",10.9621804,48.3032274
"node/5514003565","V-Markt","230","16",null,"3","free while shopping",null,null,"V-Markt","3",null,null,10.9615038,48.3045739
"node/5514029888","RegioCenter Rhein-Pfalz",null,null,null,"2",null,null,"24/7","Thüga Energie GmbH",null,"1","43kW",8.3719643,49.3894153
"node/5514111451",null,null,null,null,null,null,null,null,"eeMobility",null,null,null,11.1617843,49.3998319
"node/5514111452",null,null,null,null,null,null,null,null,"eeMobility",null,null,null,11.1618396,49.3997895
"node/5514111453",null,null,null,null,null,null,null,null,null,null,null,null,11.1621146,49.3990588
"node/5514111454",null,null,null,null,null,null,null,null,"eeMobility",null,null,null,11.1633377,49.4003129
"node/5514111455",null,null,null,null,null,null,null,null,"eeMobility",null,null,null,11.1645003,49.3988451
"node/5514111456",null,null,null,null,null,null,null,null,"eeMobility",null,null,null,11.1644478,49.3988174
"node/5514111457",null,null,null,null,null,null,null,null,"eeMobility",null,null,null,11.1643366,49.3987635
"node/5514111458",null,null,null,null,null,null,null,null,"eeMobility",null,null,null,11.1642701,49.3987301
"node/5514111459",null,null,null,null,null,null,null,null,"eeMobility",null,null,null,11.1640957,49.3986425
"node/5514111460",null,null,null,null,null,null,null,null,"eeMobility",null,null,null,11.1641812,49.3986836
"node/5514923334",null,null,null,null,null,null,null,null,"Innogy",null,null,null,6.5537206,51.1953569
"node/5516038929",null,null,null,null,"2","yes",null,"24/7","Stadtwerke München",null,null,null,11.5798532,48.1349681
"node/5516038930",null,null,null,null,"2","yes",null,"24/7","Stadtwerke München",null,null,null,11.5799907,48.1349531
"node/5516038935",null,null,null,null,"2","yes",null,"24/7","Stadtwerke München",null,null,null,11.6095984,48.1180061
"node/5516038936",null,null,null,null,"2","yes",null,"24/7","Stadtwerke München",null,null,null,11.6094975,48.117942
"node/5516049012",null,null,null,null,"2",null,null,null,null,null,"1","43kW",11.8076838,50.8773651
"node/5516092194",null,null,null,null,"3","no",null,null,"Gemeinde Heimbuchenthal","1",null,null,9.3042603,49.8962609
"node/5516231024",null,null,null,null,"2",null,null,null,"Stromnetz Hamburg",null,"1","11kW",10.0868602,53.6603466
"node/5516242979",null,null,"32","yes","2",null,null,null,"Stromnetz Hamburg","2","2",null,10.0745615,53.6637627
"node/5516289331",null,null,"32","yes","2",null,null,null,"Stromnetz Hamburg","2","2",null,10.030748,53.6464203
"node/5516300893",null,null,null,null,"2",null,null,null,"vnw",null,"2",null,10.0184575,53.6525442
"node/5516300894",null,null,null,null,"2",null,null,null,"vnw",null,"2",null,10.0184777,53.6525877
"node/5516307359",null,null,null,null,"2",null,null,null,"Stromnetz Hamburg",null,"1",null,10.0062562,53.6483834
"node/5516535364","Fahrradladestation",null,null,null,null,null,null,null,"envia M","4",null,null,12.5018626,51.2689503
"node/5516627658",null,null,null,null,null,null,null,null,"Ista",null,null,null,6.9958033,51.4249981
"node/5516641212",null,null,"32","yes","2",null,null,null,"Stromnetz Hamburg","2","2",null,10.0182832,53.5748181
"node/5516673348",null,null,"32","yes","2",null,null,null,"Stromnetz Hamburg","2","2",null,10.0137432,53.5759025
